"County","State","FIPS","Total Vote","Clinton","Trump"
"Guilford","NC","37081",257405,149248,98062
"Halifax","NC","37083",25167,15748,9031
"Harnett","NC","37085",46065,16737,27614
"Haywood","NC","37087",30727,10473,18929
"Henderson","NC","37089",58176,19827,35809
"Hertford","NC","37091",10186,6910,3099
"Hoke","NC","37093",18230,9726,7760
"Hyde","NC","37095",2304,965,1288
"Iredell","NC","37097",82567,24734,54754
"Jackson","NC","37099",18713,7713,9870
"Johnston","NC","37101",85909,28362,54372
"Jones","NC","37103",5135,2065,2974
"Lee","NC","37105",25084,10469,13712
"Lenoir","NC","37107",26807,12634,13613
"Lincoln","NC","37109",40023,9897,28806
"McDowell","NC","37111",19875,4667,14568
"Macon","NC","37113",17734,4876,12127
"Madison","NC","37115",11269,3926,6783
"Martin","NC","37117",11964,5846,5897
"Mecklenburg","NC","37119",472857,294562,155518
"Mitchell","NC","37121",8096,1596,6282
"Montgomery","NC","37123",11540,4150,7130
"Moore","NC","37125",48692,16329,30490
"Nash","NC","37127",47665,23235,23319
"New Hanover","NC","37129",111905,50979,55344
"Northampton","NC","37131",9848,6144,3582
"Onslow","NC","37133",57135,17514,37122
"Orange","NC","37135",82340,59923,18557
"Pamlico","NC","37137",6870,2448,4258
"Pasquotank","NC","37139",17391,8615,8180
"Pender","NC","37141",27885,9354,17639
"Perquimans","NC","37143",6708,2319,4177
"Person","NC","37145",19615,7833,11185
"Pitt","NC","37147",80527,41824,35691
"Polk","NC","37149",10934,3735,6768
"Randolph","NC","37151",64575,13194,49430
"Richmond","NC","37153",19328,8501,10383
"Robeson","NC","37155",40858,19016,20762
"Rockingham","NC","37157",42278,14228,26830
"Rowan","NC","37159",64369,19400,42810
"Rutherford","NC","37161",30307,7512,21871
"Sampson","NC","37163",25928,10547,14838
"Scotland","NC","37165",13928,7319,6256
"Stanly","NC","37167",29917,7094,21964
"Stokes","NC","37169",22550,4665,17116
"Surry","NC","37171",32196,7488,23671
"Swain","NC","37173",6124,2196,3565
"Transylvania","NC","37175",17869,6558,10520
"Tyrrell","NC","37177",1739,720,975
"Union","NC","37179",105710,34337,66707
"Vance","NC","37181",19977,12229,7332
"Wake","NC","37183",527624,302736,196082
"Warren","NC","37185",9842,6413,3214
"Washington","NC","37187",6165,3510,2564
"Watauga","NC","37189",29985,14138,13697
"Wayne","NC","37191",50689,21770,27540
"Wilkes","NC","37193",31296,6638,23752
"Wilson","NC","37195",38135,19663,17531
"Yadkin","NC","37197",17624,3160,13880
"Yancey","NC","37199",9960,3196,6385
"Adams","OH","39001",11412,2326,8659
"Allen","OH","39003",46234,13294,30487
"Ashland","OH","39005",24737,5740,17493
"Ashtabula","OH","39007",41180,15577,23318
"Athens","OH","39009",29709,16370,11354
"Auglaize","OH","39011",23794,3980,18658
"Belmont","OH","39013",31331,8785,21108
"Brown","OH","39015",19682,4353,14573
"Butler","OH","39017",174994,58642,106976
"Carroll","OH","39019",13148,3154,9254
"Champaign","OH","39021",18243,4594,12631
"Clark","OH","39023",61893,23328,35205
"Clermont","OH","39025",99972,26715,67518
"Clinton","OH","39027",18766,4066,13838
"Columbiana","OH","39029",46492,12432,31676
"Coshocton","OH","39031",15659,4013,10785
"Crawford","OH","39033",19329,4625,13611
"Cuyahoga","OH","39035",608873,398271,184211
"Darke","OH","39037",25601,4470,20012
"Defiance","OH","39039",18349,5368,11688
"Delaware","OH","39041",105639,40872,57568
"Erie","OH","39043",37862,16057,19648
"Fairfield","OH","39045",73554,24881,44314
"Fayette","OH","39047",11232,2739,7995
"Franklin","OH","39049",587524,351198,199331
"Fulton","OH","39051",21353,6069,13709
"Gallia","OH","39053",13004,2628,9822
"Geauga","OH","39055",50662,17569,30227
"Greene","OH","39057",82937,28943,48540
"Guernsey","OH","39059",16647,4359,11445
"Hamilton","OH","39061",409109,215719,173665
"Hancock","OH","39063",36234,9609,24183
"Hardin","OH","39065",12354,2920,8717
"Harrison","OH","39067",7105,1688,5098
"Henry","OH","39069",14053,3756,9301
"Highland","OH","39071",18588,3773,14020
"Hocking","OH","39073",12929,3775,8497
"Holmes","OH","39075",11106,1788,8720
"Huron","OH","39077",25002,7192,16226
"Jackson","OH","39079",13776,3226,9949
"Jefferson","OH","39081",32411,9675,21117
"Knox","OH","39083",28927,8171,19131
"Lake","OH","39085",117190,46397,64255
"Lawrence","OH","39087",26789,6974,18689
"Licking","OH","39089",83624,27376,51241
"Logan","OH","39091",21712,4647,15957
"Lorain","OH","39093",140562,66949,66818
"Lucas","OH","39095",198830,110833,75698
"Madison","OH","39097",17421,4779,11631
"Mahoning","OH","39099",115958,57381,53616
"Marion","OH","39101",26478,7928,16961
"Medina","OH","39103",92163,32182,54810
"Meigs","OH","39105",10041,2260,7309
"Mercer","OH","39107",21816,3384,17506
"Miami","OH","39109",53094,13120,37079
"Monroe","OH","39111",6853,1662,4868
"Montgomery","OH","39113",259876,122016,123909
"Morgan","OH","39115",6477,1736,4431
"Morrow","OH","39117",16688,3761,11948
"Muskingum","OH","39119",37245,11123,24056
"Noble","OH","39121",6039,1221,4549
"Ottawa","OH","39123",22385,8285,12653
"Paulding","OH","39125",9095,2093,6500
"Perry","OH","39127",15101,4138,10228
"Pickaway","OH","39129",24912,6529,17076
"Pike","OH","39131",11951,3539,7902
"Portage","OH","39133",76762,32397,39971
"Preble","OH","39135",20681,4325,15446
"Putnam","OH","39137",18857,2922,14961
"Richland","OH","39139",55424,16085,36590
"Ross","OH","39141",30565,10356,18652
"Sandusky","OH","39143",28285,9929,16316
"Scioto","OH","39145",31003,9132,20550
"Seneca","OH","39147",24183,7404,14825
"Shelby","OH","39149",23829,4243,18590
"Stark","OH","39151",176165,68146,98388
"Summit","OH","39153",260346,134256,112026
"Trumbull","OH","39155",96676,43014,49024
"Tuscarawas","OH","39157",41606,12188,26918
"Union","OH","39159",27695,7718,18096
"Van Wert","OH","39161",13770,2697,10469
"Vinton","OH","39163",5540,1351,3883
"Warren","OH","39165",118309,33730,77643
"Washington","OH","39167",30137,8026,20514
"Wayne","OH","39169",50217,15031,32270
"Williams","OH","39171",17308,4358,11939
"Wood","OH","39173",64826,27318,32498
"Wyandot","OH","39175",10638,2515,7468
"Adams","PA","42001",47979,14219,31423
"Allegheny","PA","42003",657189,367617,259480
"Armstrong","PA","42005",31864,7178,23484
"Beaver","PA","42007",84462,32531,48167
"Bedford","PA","42009",23637,3645,19552
"Berks","PA","42011",184085,78437,96626
"Blair","PA","42013",55341,13958,39135
"Bradford","PA","42015",25985,6369,18141
"Bucks","PA","42017",344297,167060,164361
"Butler","PA","42019",98051,28586,64431
"Cambria","PA","42021",63585,18867,42258
"Cameron","PA","42023",2186,531,1589
"Carbon","PA","42025",28992,8936,18743
"Centre","PA","42027",77295,37088,35274
"Chester","PA","42029",273026,141694,116147
"Clarion","PA","42031",17660,4273,12576
"Clearfield","PA","42033",34550,8200,24932
"Clinton","PA","42035",15503,4744,10022
"Columbia","PA","42037",28506,8934,18004
"Crawford","PA","42039",37788,10971,24987
"Cumberland","PA","42041",123486,47085,69076
"Dauphin","PA","42043",131783,64706,60863
"Delaware","PA","42045",299336,177402,110667
"Elk","PA","42047",14531,3853,10025
"Erie","PA","42049",125129,58112,60069
"Fayette","PA","42051",53767,17946,34590
"Forest","PA","42053",2420,626,1684
"Franklin","PA","42055",70502,17465,49768
"Fulton","PA","42057",6822,912,5694
"Greene","PA","42059",15868,4482,10849
"Huntingdon","PA","42061",19864,4539,14494
"Indiana","PA","42063",38122,11528,24888
"Jefferson","PA","42065",19585,3650,15192
"Juniata","PA","42067",10545,1821,8273
"Lackawanna","PA","42069",104391,51983,48384
"Lancaster","PA","42071",244832,91093,137914
"Lawrence","PA","42073",41072,14009,25428
"Lebanon","PA","42075",62444,18953,40525
"Lehigh","PA","42077",160993,81324,73690
"Luzerne","PA","42079",135901,52451,78688
"Lycoming","PA","42081",51121,13020,35627
"McKean","PA","42083",16454,4025,11635
"Mercer","PA","42085",52839,18733,31544
"Mifflin","PA","42087",18721,3877,14094
"Monroe","PA","42089",69752,33918,33386
"Montgomery","PA","42091",438652,256082,162731
"Montour","PA","42093",8556,2857,5288
"Northampton","PA","42095",144569,66275,71736
"Northumberland","PA","42097",36888,9788,25427
"Perry","PA","42099",21371,4632,15616
"Philadelphia","PA","42101",709618,584025,108748
"Pike","PA","42103",26101,9256,16056
"Potter","PA","42105",7784,1302,6251
"Schuylkill","PA","42107",63385,16770,44001
"Snyder","PA","42109",16486,4002,11725
"Somerset","PA","42111",36073,7376,27379
"Sullivan","PA","42113",3136,750,2291
"Susquehanna","PA","42115",19043,5123,12891
"Tioga","PA","42117",18482,3901,13614
"Union","PA","42119",17694,6180,10622
"Venango","PA","42121",23530,6309,16021
"Warren","PA","42123",18434,5145,12477
"Washington","PA","42125",102210,36322,61386
"Wayne","PA","42127",24018,7008,16244
"Westmoreland","PA","42129",183476,59669,116522
"Wyoming","PA","42131",13255,3811,8837
"York","PA","42133",208029,68524,128528
"Abbeville","SC","45001",10775,3741,6763
"Aiken","SC","45003",74851,25455,46025
"Allendale","SC","45005",3592,2735,789
"Anderson","SC","45007",80483,21097,56232
"Bamberg","SC","45009",6214,3898,2204
"Barnwell","SC","45011",9485,4400,4889
"Beaufort","SC","45013",78524,32138,42922
"Berkeley","SC","45015",79517,30705,44587
"Calhoun","SC","45017",7549,3573,3787
"Charleston","SC","45019",176345,89299,75443
"Cherokee","SC","45021",21759,6092,15167
"Chester","SC","45023",14192,6579,7265
"Chesterfield","SC","45025",16581,6858,9312
"Clarendon","SC","45027",15395,7732,7386
"Colleton","SC","45029",17251,7627,9091
"Darlington","SC","45031",29674,13888,14989
"Dillon","SC","45033",11698,5834,5637
"Dorchester","SC","45035",62567,24055,34987
"Edgefield","SC","45037",11644,4491,6842
"Fairfield","SC","45039",11267,6945,4027
"Florence","SC","45041",57931,26710,29573
"Georgetown","SC","45043",31657,13310,17389
"Greenville","SC","45045",215165,74483,127832
"Greenwood","SC","45047",28763,10711,16961
"Hampton","SC","45049",8806,5170,3488
"Horry","SC","45051",132920,39410,89288
"Jasper","SC","45053",11427,5956,5187
"Kershaw","SC","45055",28995,10330,17542
"Lancaster","SC","45057",38938,13812,23719
"Laurens","SC","45059",26566,8889,16816
"Lee","SC","45061",8156,5199,2803
"Lexington","SC","45063",122093,35230,80026
"McCormick","SC","45065",5216,2479,2652
"Marion","SC","45067",14276,8569,5444
"Marlboro","SC","45069",10389,5954,4267
"Newberry","SC","45071",16807,6217,10017
"Oconee","SC","45073",33635,7998,24178
"Orangeburg","SC","45075",38910,26318,11931
"Pickens","SC","45077",49049,10354,36236
"Richland","SC","45079",168722,108000,52469
"Saluda","SC","45081",8564,2813,5526
"Spartanburg","SC","45083",121090,39997,76277
"Sumter","SC","45085",44086,24047,18745
"Union","SC","45087",12092,4729,7061
"Williamsburg","SC","45089",15054,9953,4864
"York","SC","45091",114357,41593,66754
"Anderson","TN","47001",29881,9013,19212
"Bedford","TN","47003",15355,3395,11486
"Benton","TN","47005",6328,1474,4716
"Bledsoe","TN","47007",4664,897,3622
"Blount","TN","47009",52208,12100,37443
"Bradley","TN","47011",38666,7070,29768
"Campbell","TN","47013",12532,2248,9870
"Cannon","TN","47015",5314,1127,4007
"Carroll","TN","47017",10384,2327,7756
"Carter","TN","47019",21084,3453,16898
"Cheatham","TN","47021",15924,3878,11297
"Chester","TN","47023",6507,1243,5081
"Claiborne","TN","47025",10740,1832,8602
"Clay","TN","47027",2920,707,2141
"Cocke","TN","47029",12126,1981,9791
"Coffee","TN","47031",19971,4743,14417
"Crockett","TN","47033",5397,1303,3982
"Cumberland","TN","47035",26360,5202,20413
"Davidson","TN","47037",249068,148864,84550
"Decatur","TN","47039",4592,894,3588
"DeKalb","TN","47041",6955,1569,5171
"Dickson","TN","47043",18699,4722,13233
"Dyer","TN","47045",13336,2816,10180
"Fayette","TN","47047",19394,5874,13055
"Fentress","TN","47049",7333,1100,6038
"Franklin","TN","47051",16404,4374,11532
"Gibson","TN","47053",19547,5258,13786
"Giles","TN","47055",11137,2917,7970
"Grainger","TN","47057",8008,1154,6626
"Greene","TN","47059",23583,4216,18562
"Grundy","TN","47061",4763,999,3636
"Hamblen","TN","47063",20692,4075,15857
"Hamilton","TN","47065",142408,55316,78733
"Hancock","TN","47067",2231,322,1843
"Hardeman","TN","47069",9273,4185,4919
"Hardin","TN","47071",9949,1622,8012
"Hawkins","TN","47073",20774,3507,16648
"Haywood","TN","47075",6834,3711,3013
"Henderson","TN","47077",10217,1800,8138
"Henry","TN","47079",12945,3063,9508
"Hickman","TN","47081",7813,1824,5695
"Houston","TN","47083",3168,866,2182
"Humphreys","TN","47085",7153,1967,4930
"Jackson","TN","47087",4466,1129,3236
"Jefferson","TN","47089",19072,3494,14776
"Johnson","TN","47091",6579,988,5410
"Knox","TN","47093",180697,62878,105767
"Lake","TN","47095",1970,577,1357
"Lauderdale","TN","47097",8087,3056,4884
"Lawrence","TN","47099",15666,2821,12420
"Lewis","TN","47101",4622,890,3585
"Lincoln","TN","47103",13348,2554,10398
"Loudon","TN","47105",23391,4919,17610
"McMinn","TN","47107",18755,3510,14691
"McNairy","TN","47109",10038,1848,7841
"Macon","TN","47111",7504,1072,6263
"Madison","TN","47113",38120,15448,21335
"Marion","TN","47115",10862,2832,7696
"Marshall","TN","47117",11455,2852,8184
"Maury","TN","47119",35369,10038,23799
"Meigs","TN","47121",4320,856,3342
"Monroe","TN","47123",17093,3186,13374
"Montgomery","TN","47125",57620,21699,32341
"Moore","TN","47127",2926,496,2325
"Morgan","TN","47129",6705,1054,5441
"Obion","TN","47131",12249,2426,9526
"Overton","TN","47133",8229,1945,6059
"Perry","TN","47135",2855,597,2167
"Pickett","TN","47137",2615,536,2021
"Polk","TN","47139",6520,1252,5097
"Putnam","TN","47141",27212,6851,19002
"Rhea","TN","47143",11062,1942,8660
"Roane","TN","47145",21669,4837,15880
"Robertson","TN","47147",27113,6637,19410
"Rutherford","TN","47149",107436,36706,64515
"Scott","TN","47151",7123,934,6044
"Sequatchie","TN","47153",5694,1053,4441
"Sevier","TN","47155",36312,6297,28629
"Shelby","TN","47157",337383,208992,116344
"Smith","TN","47159",7436,1689,5494
"Stewart","TN","47161",5299,1222,3864
"Sullivan","TN","47163",62278,12578,46979
"Sumner","TN","47165",71505,18161,50129
"Tipton","TN","47167",23481,5785,16910
"Trousdale","TN","47169",3160,946,2103
"Unicoi","TN","47171",7195,1262,5671
"Union","TN","47173",6247,1012,5053
"Van Buren","TN","47175",2419,539,1820
"Warren","TN","47177",13612,3535,9540
"Washington","TN","47179",49750,13024,34252
"Wayne","TN","47181",5857,717,5036
"Weakley","TN","47183",12184,2772,9008
"White","TN","47185",9825,1845,7671
"Williamson","TN","47187",106271,31013,68212
"Wilson","TN","47189",56734,14385,39406
"Accomack","VA","51001",15818,6740,8583
"Albemarle","VA","51003",56726,33345,19259
"Alleghany","VA","51005",7325,2166,4874
"Amelia","VA","51007",7040,2128,4708
"Amherst","VA","51009",15396,5057,9719
"Appomattox","VA","51011",7997,2023,5715
"Arlington","VA","51013",121339,92016,20186
"Augusta","VA","51015",36343,8177,26163
"Bath","VA","51017",2253,603,1548
"Bedford","VA","51019",42525,9768,30659
"Bland","VA","51021",3139,453,2573
"Botetourt","VA","51023",18739,4494,13375
"Brunswick","VA","51025",7669,4481,3046
"Buchanan","VA","51027",9247,1721,7296
"Buckingham","VA","51029",7289,3128,3950
"Campbell","VA","51031",27535,6664,19551
"Caroline","VA","51033",14248,6432,7147
"Carroll","VA","51035",13655,2559,10663
"Charles City","VA","51036",4107,2496,1476
"Charlotte","VA","51037",5807,2155,3479
"Chesterfield","VA","51041",176362,81074,85045
"Clarke","VA","51043",8213,3051,4661
"Craig","VA","51045",2791,541,2140
"Culpeper","VA","51047",22218,7759,13349
"Cumberland","VA","51049",4906,2036,2697
"Dickenson","VA","51051",6440,1335,4932
"Dinwiddie","VA","51053",13575,5765,7447
"Essex","VA","51057",5372,2542,2657
"Fairfax","VA","51059",551183,355133,157710
"Fauquier","VA","51061",37460,12971,22127
"Floyd","VA","51063",8050,2300,5293
"Fluvanna","VA","51065",13592,5760,7025
"Franklin","VA","51067",26971,7257,18569
"Frederick","VA","51069",40440,11932,26083
"Giles","VA","51071",8212,1950,5910
"Gloucester","VA","51073",19619,5404,13096
"Goochland","VA","51075",14037,4889,8384
"Grayson","VA","51077",7285,1407,5592
"Greene","VA","51079",9607,2924,5945
"Greensville","VA","51081",4363,2558,1737
"Halifax","VA","51083",16994,6897,9704
"Hanover","VA","51085",62723,19382,39630
"Henrico","VA","51087",163536,93935,59857
"Henry","VA","51089",24091,8198,15208
"Highland","VA","51091",1391,371,958
"Isle of Wight","VA","51093",21075,7881,12204
"James City","VA","51095",43169,19105,21306
"King George","VA","51099",12050,4007,7341
"King and Queen","VA","51097",3690,1468,2099
"King William","VA","51101",9146,2760,5975
"Lancaster","VA","51103",6645,2869,3523
"Lee","VA","51105",9399,1627,7543
"Loudoun","VA","51107",183050,100795,69949
"Louisa","VA","51109",17612,6212,10528
"Lunenburg","VA","51111",5586,2227,3204
"Madison","VA","51113",6979,2203,4419
"Mathews","VA","51115",5311,1563,3517
"Mecklenburg","VA","51117",14945,6285,8288
"Middlesex","VA","51119",6017,2108,3670
"Montgomery","VA","51121",43031,20021,19459
"Nelson","VA","51125",8311,3689,4154
"New Kent","VA","51127",12233,3546,8118
"Northampton","VA","51131",6168,3255,2686
"Northumberland","VA","51133",7397,2852,4302
"Nottoway","VA","51135",6744,2829,3712
"Orange","VA","51137",17267,5957,10521
"Page","VA","51139",10740,2514,7831
"Patrick","VA","51141",8525,1768,6454
"Pittsylvania","VA","51143",31598,9199,21554
"Powhatan","VA","51145",16888,4060,11885
"Prince Edward","VA","51147",9143,4591,4101
"Prince George","VA","51149",16184,6419,9157
"Prince William","VA","51153",196442,113144,71721
"Pulaski","VA","51155",15165,4172,10322
"Rappahannock","VA","51157",4483,1747,2539
"Richmond","VA","51159",3661,1347,2213
"Roanoke","VA","51161",51489,17200,31408
"Rockbridge","VA","51163",10795,3508,6680
"Rockingham","VA","51165",37487,9366,25990
"Russell","VA","51167",12246,2330,9521
"Scott","VA","51169",10100,1581,8247
"Shenandoah","VA","51171",20508,5273,14094
"Smyth","VA","51173",12890,2665,9750
"Southampton","VA","51175",8872,3595,5035
"Spotsylvania","VA","51177",62549,24207,34623
"Stafford","VA","51179",65934,27908,33868
"Surry","VA","51181",4228,2272,1819
"Sussex","VA","51183",5044,2879,2055
"Tazewell","VA","51185",18566,2895,15168
"Warren","VA","51187",17951,5169,11773
"Washington","VA","51191",25846,5553,19320
"Westmoreland","VA","51193",8574,3836,4448
"Wise","VA","51195",15163,2701,12086
"Wythe","VA","51197",13328,2770,10046
"York","VA","51199",34113,12999,18837
"Alexandria","VA","51510",75762,57242,13285
"Bristol","VA","51520",7027,1835,4892
"Buena Vista","VA","51530",2407,693,1430
"Charlottesville","VA","51540",22467,17901,2960
"Chesapeake","VA","51550",112662,52627,54047
"Colonial Heights","VA","51570",8457,2367,5681
"Covington","VA","51580",2382,914,1349
"Danville","VA","51590",18940,11059,7303
"Emporia","VA","51595",2366,1530,789
"Fairfax","VA","51600",12028,7367,3702
"Falls Church","VA","51610",7757,5819,1324
"Franklin","VA","51620",4061,2519,1421
"Fredericksburg","VA","51630",11257,6707,3744
"Galax","VA","51640",2376,681,1603
"Hampton","VA","51650",62277,41312,17902
"Harrisonburg","VA","51660",17987,10212,6262
"Hopewell","VA","51670",9008,4724,3885
"Lexington","VA","51678",2465,1514,766
"Lynchburg","VA","51680",35657,14792,17982
"Manassas","VA","51683",15411,8423,5953
"Manassas Park","VA","51685",5232,3204,1733
"Martinsville","VA","51690",5907,3533,2149
"Newport News","VA","51700",75637,45618,25468
"Norfolk","VA","51710",83385,57023,21552
"Norton","VA","51720",1460,383,1021
"Petersburg","VA","51730",13786,12021,1451
"Poquoson","VA","51735",7177,1601,5092
"Portsmouth","VA","51740",43261,28497,12795
"Radford","VA","51750",6082,2925,2638
"Richmond","VA","51760",103406,81259,15581
"Roanoke","VA","51770",39466,22286,14789
"Salem","VA","51775",12225,4202,7226
"Staunton","VA","51790",11255,5333,5133
"Suffolk","VA","51800",43240,23280,18006
"Virginia Beach","VA","51810",203019,91032,98224
"Waynesboro","VA","51820",9204,3764,4801
"Williamsburg","VA","51830",7626,5206,1925
"Winchester","VA","51840",10665,5164,4790
"Barbour","WV","54001",6116,1222,4527
"Berkeley","WV","54003",43364,12321,28244
"Boone","WV","54005",8779,1790,6504
"Braxton","WV","54007",5100,1321,3537
"Brooke","WV","54009",9696,2568,6625
"Cabell","WV","54011",33585,11447,19850
"Calhoun","WV","54013",2638,456,2035
"Clay","WV","54015",2995,568,2300
"Doddridge","WV","54017",2863,362,2358
"Fayette","WV","54019",15478,4290,10357
"Gilmer","WV","54021",2579,545,1896
"Grant","WV","54023",4965,512,4346
"Greenbrier","WV","54025",14224,3765,9556
"Hampshire","WV","54027",8679,1580,6692
"Hancock","WV","54029",12802,3262,8909
"Hardy","WV","54031",5674,1155,4274
"Harrison","WV","54033",28351,7694,18750
"Jackson","WV","54035",12304,2663,9020
"Jefferson","WV","54037",24508,9518,13204
"Kanawha","WV","54039",76888,28263,43850
"Lewis","WV","54041",6936,1347,5274
"Lincoln","WV","54043",7137,1459,5307
"Logan","WV","54045",12440,2092,9897
"McDowell","WV","54047",6246,1438,4629
"Marion","WV","54049",23364,6964,14668
"Marshall","WV","54051",13351,2918,9666
"Mason","WV","54053",10269,2081,7654
"Mercer","WV","54055",23197,4704,17404
"Mineral","WV","54057",11671,2050,9070
"Mingo","WV","54059",9510,1370,7911
"Monongalia","WV","54061",36764,14699,18432
"Monroe","WV","54063",5852,1111,4443
"Morgan","WV","54065",7737,1573,5732
"Nicholas","WV","54067",9579,1840,7251
"Ohio","WV","54069",18214,5493,11139
"Pendleton","WV","54071",3254,729,2398
"Pleasants","WV","54073",3179,621,2358
"Pocahontas","WV","54075",3675,928,2496
"Preston","WV","54077",12764,2470,9538
"Putnam","WV","54079",25211,5884,17788
"Raleigh","WV","54081",29892,6443,22048
"Randolph","WV","54083",10969,2735,7629
"Ritchie","WV","54085",4105,496,3405
"Roane","WV","54087",5315,1222,3781
"Summers","WV","54089",4893,1190,3455
"Taylor","WV","54091",6593,1491,4733
"Tucker","WV","54093",3501,751,2565
"Tyler","WV","54095",3692,507,2996
"Upshur","WV","54097",9298,1766,7005
"Wayne","WV","54099",15347,3357,11152
"Webster","WV","54101",3011,556,2302
"Wetzel","WV","54103",6312,1359,4519
"Wirt","WV","54105",2422,386,1911
"Wood","WV","54107",36063,8400,25434
"Wyoming","WV","54109",7880,1062,6547
